"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"29","Jonathan Bernier","DET","35","137.03333333333","127","115","12","0.906","5.25","4.85","18.93","49","38","11","0.776","4.82","-0.92","33","32","1","0.970","0.44","3.79","45","45","0","1.000","0.00","3.31","0","23","29.20","15.25"
"44","Robin Lehner","NYI","46","177.85","167","151","16","0.904","5.40","6.15","21.03","57","50","7","0.877","2.36","4.73","54","50","4","0.926","1.35","3.84","53","48","5","0.906","1.69","-1.10","1","23","31.13","25.13"
"82","Thatcher Demko","VAN","9","40.966666666667","31","28","3","0.903","4.39","1.11","3.91","7","6","1","0.857","1.46","0.44","8","7","1","0.875","1.46","0.16","16","15","1","0.938","1.46","0.18","0","2","32.68","23.33"
"21","Carey Price","MTL","66","321.03333333333","263","237","26","0.901","4.86","8.88","31.81","77","67","10","0.870","1.87","5.85","73","61","12","0.836","2.24","-1.40","112","108","4","0.964","0.75","4.23","6","37","30.86","24.46"
"53","Jack Campbell","L.A","31","134.16666666667","111","100","11","0.901","4.92","3.72","16.08","27","22","5","0.815","2.24","0.56","32","29","3","0.906","1.34","1.64","52","49","3","0.942","1.34","0.82","0","21","32.81","24.64"
"93","Carter Hart","PHI","31","121.45","90","81","9","0.900","4.45","2.94","11.02","24","21","3","0.875","1.48","1.94","23","19","4","0.826","1.98","-0.66","41","40","1","0.976","0.49","2.01","2","17","33.51","41.78"
"2","Craig Anderson","OTT","50","220.25","220","197","23","0.895","6.27","6.18","23.1","50","43","7","0.860","1.91","3.29","47","38","9","0.809","2.45","-2.18","121","114","7","0.942","1.91","1.89","1","19","35.20","26.83"
"12","Corey Crawford","CHI","39","154.93333333333","162","145","17","0.895","6.58","4.49","21.52","50","43","7","0.860","2.71","3.29","47","43","4","0.915","1.55","2.82","65","59","6","0.908","2.32","-1.22","1","25","30.71","24.82"
"16","Devan Dubnyk","MIN","67","297.56666666667","266","238","28","0.895","5.65","7.28","28.49","47","40","7","0.851","1.41","2.67","84","72","12","0.857","2.42","0.19","133","124","9","0.932","1.81","0.77","4","23","36.98","35.61"
"1","Roberto Luongo","FLA","43","162.85","104","93","11","0.894","4.05","2.79","14.39","26","22","4","0.846","1.47","1.35","36","30","6","0.833","2.21","-0.77","42","41","1","0.976","0.37","2.09","1","11","31.11","22.64"
