"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"50","Ben Bishop","T.B","9","400","243","226","17","0.930","2.55","2.26","18.88","58","49","9","0.845","1.35","1.02","79","73","6","0.924","0.90","0.18","97","95","2","0.979","0.30","0.74","12","32","35.40","23.47"
"65","Antti Niemi","S.J","43","2036.75","942","876","66","0.930","1.94","8.65","66.37","216","180","36","0.833","1.06","1.31","239","221","18","0.925","0.53","0.68","457","446","11","0.976","0.32","1.91","47","86","36.66","25.29"
"38","Cory Schneider","VAN","30","1322.4333333333","632","587","45","0.929","2.04","5.08","46.5","186","160","26","0.860","1.18","6.13","156","144","12","0.923","0.54","0.19","264","258","6","0.977","0.27","1.46","33","53","35.67","23.49"
"8","Martin Biron","NYR","6","282.38333333333","125","116","9","0.928","1.91","0.91","10.69","37","31","6","0.838","1.27","0.39","29","27","2","0.931","0.42","0.27","56","55","1","0.982","0.21","0.58","5","9","32.78","20.22"
"15","Jason LaBarbera","PHX","15","572.96666666667","318","295","23","0.928","2.41","2.20","27.15","105","88","17","0.838","1.78","1.14","72","70","2","0.972","0.21","3.63","137","133","4","0.971","0.42","-0.13","14","44","31.15","22.35"
"43","Pekka Rinne","NSH","43","1963.5666666667","884","820","64","0.928","1.96","6.05","61.53","202","166","36","0.822","1.10","-1.10","251","233","18","0.928","0.55","1.62","413","403","10","0.976","0.31","1.67","39","58","34.04","21.53"
"24","Ray Emery","CHI","21","893.55","358","332","26","0.927","1.75","2.37","29.28","106","91","15","0.858","1.01","3.31","95","89","6","0.937","0.40","1.43","146","141","5","0.966","0.34","-0.87","17","33","31.80","21.65"
"30","Marc-Andre Fleury","PIT","33","1458.0833333333","700","649","51","0.927","2.10","4.47","51.03","181","147","34","0.812","1.40","-2.73","167","155","12","0.928","0.49","1.05","329","324","5","0.985","0.21","4.30","23","59","35.88","20.00"
"49","Ben Bishop","OTT","13","605.3","301","279","22","0.927","2.18","1.85","21.1","71","60","11","0.845","1.09","1.27","84","77","7","0.917","0.69","-0.43","140","136","4","0.971","0.40","-0.04","18","28","37.14","25.77"
"27","Kari Lehtonen","DAL","36","1539.9","786","727","59","0.925","2.30","3.28","63.35","240","203","37","0.846","1.44","4.46","193","181","12","0.938","0.47","3.09","327","317","10","0.969","0.39","-0.76","27","91","33.28","17.83"
