"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"43","Anders Nilsson","VAN","12","61.233333333333","52","40","12","0.769","11.76","-4.88","6.58","14","11","3","0.786","2.94","-0.10","20","14","6","0.700","5.88","-2.95","17","14","3","0.824","2.94","-1.68","0","7","33.98","38.92"
"8","Mike McKenna","PHI","1","6.5833333333333","4","3","1","0.750","9.11","-0.45","0.64","2","2","0","1.000","0.00","0.41","0","0","0","-","0.00","0.00","2","1","1","0.500","9.11","-0.84","0","1","19.00","21.00"
"77","Marcus Hogberg","OTT","4","12.2","12","9","3","0.750","14.75","-1.36","1.12","3","2","1","0.667","4.92","-0.38","1","1","0","1.000","0.00","0.15","7","5","2","0.714","9.84","-1.46","0","1","41.00","35.33"
"69","Anthony Stolarz","EDM","6","23.516666666667","19","14","5","0.737","12.76","-2.40","2.1","7","4","3","0.571","7.65","-1.55","7","5","2","0.714","5.10","-0.93","5","5","0","1.000","0.00","0.39","1","1","31.05","27.40"
"49","Cam Talbot","PHI","4","18.1","14","10","4","0.714","13.26","-2.08","1.92","6","3","3","0.500","9.94","-1.76","4","4","0","1.000","0.00","0.61","4","3","1","0.750","3.31","-0.69","0","3","25.79","22.25"
"74","Mike Condon","OTT","2","3.6833333333333","3","2","1","0.667","16.29","-0.59","0.42","2","1","1","0.500","16.29","-0.59","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.08","0","0","30.67","21.00"
"37","Michael Hutchinson","FLA","4","15.116666666667","14","9","5","0.643","19.85","-3.08","2.12","2","1","1","0.500","3.97","-0.59","4","2","2","0.500","7.94","-1.39","8","6","2","0.750","7.94","-1.38","0","2","32.71","32.00"
"32","Richard Bachman","VAN","1","2.9833333333333","3","1","2","0.333","40.22","-1.59","0.21","1","0","1","0.000","20.11","-0.79","1","0","1","0.000","20.11","-0.85","1","1","0","1.000","0.00","0.08","0","0","34.00","23.00"
"87","Joey Daccord","OTT","1","4.3833333333333","3","1","2","0.333","27.38","-1.59","0.44","1","0","1","0.000","13.69","-0.79","0","0","0","-","0.00","0.00","2","1","1","0.500","13.69","-0.84","0","1","37.67","32.50"
"96","Kaden Fulcher","DET","1","0.9","1","0","1","0.000","66.67","-0.86","0.05","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","1","0","1","0.000","66.67","-0.92","0","0","42.00","42.00"
"79","Tristan Jarry","PIT","2","0.31666666666667","0","0","0","-","0.00","0.00","0","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","-","-"
"80","Eric Comrie","WPG","1","4","0","0","0","-","0.00","0.00","0.04","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","-","-"
