"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"26","Chad Johnson","ANA","9","319.7","156","136","20","0.872","3.75","-5.82","13.41","51","40","11","0.784","2.06","-1.74","40","33","7","0.825","1.31","-2.92","60","58","2","0.967","0.38","0.15","6","18","36.05","24.90"
"64","Maxime Lagace","VGK","1","59.516666666667","31","27","4","0.871","4.03","-1.18","2.56","3","2","1","0.667","1.01","-0.46","9","7","2","0.778","2.02","-1.08","19","18","1","0.947","1.01","-0.32","0","4","32.81","20.25"
"52","Calvin Pickard","PHI","11","464.16666666667","227","196","31","0.863","4.01","-10.37","18.33","69","51","18","0.739","2.33","-5.47","44","36","8","0.818","1.03","-3.52","105","100","5","0.952","0.65","-1.23","16","18","34.75","21.61"
"31","Michal Neuvirth","PHI","7","365.63333333333","184","158","26","0.859","4.27","-9.28","14.83","46","35","11","0.761","1.81","-2.65","47","36","11","0.766","1.81","-6.21","77","73","4","0.948","0.66","-1.24","10","25","39.96","25.65"
"37","Michael Hutchinson","FLA","4","201.23333333333","87","73","14","0.839","4.17","-6.09","7.86","23","17","6","0.739","1.79","-1.82","21","16","5","0.762","1.49","-2.86","40","37","3","0.925","0.89","-1.57","5","12","36.09","25.21"
"8","Mike McKenna","PHI","1","56.866666666667","24","20","4","0.833","4.22","-1.82","2.34","9","7","2","0.778","2.11","-0.37","4","3","1","0.750","1.06","-0.59","9","8","1","0.889","1.06","-0.68","3","1","30.38","16.00"
"80","Eric Comrie","WPG","1","59.883333333333","28","23","5","0.821","5.01","-2.46","1.83","5","4","1","0.800","1.00","-0.09","7","5","2","0.714","2.00","-1.29","14","12","2","0.857","2.00","-1.50","2","5","38.29","28.00"
"5","Peter Budaj","L.A","3","71.75","33","27","6","0.818","5.02","-3.00","2.87","13","10","3","0.769","2.51","-0.64","5","4","1","0.800","0.84","-0.49","12","10","2","0.833","1.67","-1.57","2","3","39.55","27.83"
"97","Kaden Fulcher","DET","1","27.216666666667","11","9","2","0.818","4.41","-1.00","0.78","2","2","0","1.000","0.00","0.36","2","1","1","0.500","2.20","-0.80","7","6","1","0.857","2.20","-0.75","0","0","32.64","30.50"
"92","Alex Lyon","PHI","2","70.816666666667","31","25","6","0.806","5.08","-3.18","2.59","5","2","3","0.400","2.54","-2.09","8","7","1","0.875","0.85","-0.18","16","14","2","0.875","1.69","-1.43","2","4","40.74","21.83"
"74","Mike Condon","OTT","2","75.25","40","32","8","0.800","6.38","-4.37","3.07","15","9","6","0.600","4.78","-3.28","11","10","1","0.909","0.80","0.12","12","12","0","1.000","0.00","0.43","1","3","35.20","30.63"
"32","Richard Bachman","VAN","1","60","29","23","6","0.793","6.00","-3.36","1.47","3","1","2","0.333","2.00","-1.46","9","7","2","0.778","2.00","-1.08","16","14","2","0.875","2.00","-1.43","1","2","42.69","26.33"
"95","Michael Dipietro","VAN","1","60","24","17","7","0.708","7.00","-4.82","2.38","9","4","5","0.444","5.00","-3.37","5","5","0","1.000","0.00","0.51","10","8","2","0.800","2.00","-1.64","2","1","33.21","24.57"
